2025-01-04 19:35:57,861 - WARNING: Sound achievement not found
2025-01-04 21:40:13,339 - WARNING: Sound achievement not found
2025-01-04 21:42:22,642 - WARNING: Sound achievement not found
2025-01-04 22:31:29,953 - WARNING: Sound achievement not found
2025-01-04 22:42:12,774 - WARNING: Sound achievement not found
2025-01-04 22:44:47,597 - WARNING: Sound achievement not found
2025-01-04 22:46:51,705 - WARNING: Sound achievement not found
2025-01-06 00:55:35,438 - WARNING: Sound achievement not found
2025-01-06 00:57:12,112 - WARNING: Sound achievement not found
2025-01-06 00:58:50,713 - WARNING: Sound achievement not found
2025-01-06 01:01:19,661 - WARNING: Sound achievement not found
2025-01-07 11:17:19,277 - WARNING: Sound achievement not found
2025-01-07 11:22:25,913 - WARNING: Sound achievement not found
2025-01-07 11:48:14,471 - WARNING: Sound achievement not found
2025-01-07 11:49:25,691 - WARNING: Sound achievement not found
2025-01-07 11:57:00,380 - WARNING: Sound achievement not found
2025-01-07 11:58:09,842 - WARNING: Sound achievement not found
2025-01-07 11:59:49,826 - WARNING: Sound achievement not found
2025-01-07 12:12:39,176 - WARNING: Sound achievement not found
2025-01-07 12:24:34,959 - WARNING: Sound achievement not found
2025-01-07 12:45:18,800 - WARNING: Sound achievement not found
2025-01-07 12:47:02,891 - WARNING: Sound achievement not found
2025-01-07 12:57:20,069 - WARNING: Sound achievement not found
2025-01-07 15:14:21,143 - WARNING: Sound achievement not found
2025-01-07 15:24:20,399 - WARNING: Sound achievement not found
2025-01-07 15:24:47,834 - INFO: Checking collision for head position: (280, 440)
2025-01-07 15:24:48,035 - INFO: Checking collision for head position: (300, 440)
2025-01-07 15:24:48,236 - INFO: Checking collision for head position: (320, 440)
2025-01-07 15:24:48,437 - INFO: Checking collision for head position: (340, 440)
2025-01-07 15:24:48,637 - INFO: Checking collision for head position: (360, 440)
2025-01-07 15:24:48,837 - INFO: Checking collision for head position: (380, 440)
2025-01-07 15:24:49,037 - INFO: Checking collision for head position: (400, 440)
2025-01-07 15:24:49,239 - INFO: Checking collision for head position: (400, 460)
2025-01-07 15:24:49,438 - INFO: Checking collision for head position: (400, 480)
2025-01-07 15:24:49,639 - INFO: Checking collision for head position: (400, 500)
2025-01-07 15:24:49,840 - INFO: Checking collision for head position: (400, 520)
2025-01-07 15:24:50,041 - INFO: Checking collision for head position: (380, 520)
2025-01-07 15:24:50,241 - INFO: Checking collision for head position: (360, 520)
2025-01-07 15:24:50,442 - INFO: Checking collision for head position: (360, 500)
2025-01-07 15:24:50,642 - INFO: Checking collision for head position: (360, 480)
2025-01-07 15:24:50,843 - INFO: Checking collision for head position: (360, 460)
2025-01-07 15:24:51,044 - INFO: Checking collision for head position: (360, 440)
2025-01-07 15:24:51,246 - INFO: Checking collision for head position: (340, 440)
2025-01-07 15:24:51,446 - INFO: Checking collision for head position: (320, 440)
2025-01-07 15:24:51,646 - INFO: Checking collision for head position: (300, 440)
2025-01-07 15:24:51,847 - INFO: Checking collision for head position: (280, 440)
2025-01-07 15:24:52,048 - INFO: Checking collision for head position: (260, 440)
2025-01-07 15:24:52,248 - INFO: Checking collision for head position: (260, 420)
2025-01-07 15:24:52,448 - INFO: Checking collision for head position: (260, 400)
2025-01-07 15:24:52,649 - INFO: Checking collision for head position: (260, 380)
2025-01-07 15:24:52,850 - INFO: Checking collision for head position: (240, 380)
2025-01-07 15:24:53,051 - INFO: Checking collision for head position: (220, 380)
2025-01-07 15:24:53,252 - INFO: Checking collision for head position: (220, 400)
2025-01-07 15:24:53,453 - INFO: Checking collision for head position: (220, 420)
2025-01-07 15:24:53,654 - INFO: Checking collision for head position: (220, 440)
2025-01-07 15:24:53,855 - INFO: Checking collision for head position: (240, 440)
2025-01-07 15:24:54,055 - INFO: Checking collision for head position: (260, 440)
2025-01-07 15:24:54,255 - INFO: Checking collision for head position: (280, 440)
2025-01-07 15:24:54,456 - INFO: Checking collision for head position: (280, 420)
2025-01-07 15:24:54,657 - INFO: Checking collision for head position: (280, 400)
2025-01-07 15:24:54,857 - INFO: Checking collision for head position: (280, 380)
2025-01-07 15:24:55,059 - INFO: Checking collision for head position: (280, 360)
2025-01-07 15:24:55,259 - INFO: Checking collision for head position: (260, 360)
2025-01-07 15:24:55,458 - INFO: Checking collision for head position: (240, 360)
2025-01-07 15:24:55,660 - INFO: Checking collision for head position: (240, 380)
2025-01-07 15:24:55,860 - INFO: Checking collision for head position: (240, 400)
2025-01-07 15:24:56,060 - INFO: Checking collision for head position: (240, 420)
2025-01-07 15:24:56,260 - INFO: Checking collision for head position: (240, 440)
2025-01-07 15:24:56,462 - INFO: Checking collision for head position: (260, 440)
2025-01-07 15:24:56,663 - INFO: Checking collision for head position: (280, 440)
2025-01-07 15:24:56,863 - INFO: Checking collision for head position: (300, 440)
2025-01-07 15:24:57,064 - INFO: Checking collision for head position: (320, 440)
2025-01-07 15:24:57,265 - INFO: Checking collision for head position: (340, 440)
2025-01-07 15:24:57,466 - INFO: Checking collision for head position: (340, 420)
2025-01-07 15:24:57,667 - INFO: Checking collision for head position: (340, 400)
2025-01-07 15:24:57,868 - INFO: Checking collision for head position: (340, 380)
2025-01-07 15:24:58,069 - INFO: Checking collision for head position: (360, 380)
2025-01-07 15:24:58,270 - INFO: Checking collision for head position: (380, 380)
2025-01-07 15:24:58,471 - INFO: Checking collision for head position: (400, 380)
2025-01-07 15:24:58,673 - INFO: Checking collision for head position: (400, 360)
2025-01-07 15:24:58,874 - INFO: Checking collision for head position: (420, 360)
2025-01-07 15:24:59,074 - INFO: Checking collision for head position: (440, 360)
2025-01-07 15:24:59,275 - INFO: Checking collision for head position: (460, 360)
2025-01-07 15:24:59,475 - INFO: Checking collision for head position: (480, 360)
2025-01-07 15:24:59,675 - INFO: Checking collision for head position: (500, 360)
2025-01-07 15:24:59,876 - INFO: Checking collision for head position: (520, 360)
2025-01-07 15:25:00,077 - INFO: Checking collision for head position: (540, 360)
2025-01-07 15:25:00,278 - INFO: Checking collision for head position: (560, 360)
2025-01-07 15:25:00,479 - INFO: Checking collision for head position: (580, 360)
2025-01-07 15:25:00,680 - INFO: Checking collision for head position: (600, 360)
2025-01-07 15:25:00,881 - INFO: Checking collision for head position: (620, 360)
2025-01-07 15:25:01,081 - INFO: Checking collision for head position: (620, 340)
2025-01-07 15:25:01,281 - INFO: Checking collision for head position: (600, 340)
2025-01-07 15:25:01,484 - INFO: Checking collision for head position: (580, 340)
2025-01-07 15:25:01,684 - INFO: Checking collision for head position: (560, 340)
2025-01-07 15:25:01,884 - INFO: Checking collision for head position: (540, 340)
2025-01-07 15:25:02,085 - INFO: Checking collision for head position: (520, 340)
2025-01-07 15:25:02,285 - INFO: Checking collision for head position: (500, 340)
2025-01-07 15:25:02,486 - INFO: Checking collision for head position: (480, 340)
2025-01-07 15:25:02,687 - INFO: Checking collision for head position: (460, 340)
2025-01-07 15:25:02,888 - INFO: Checking collision for head position: (440, 340)
2025-01-07 15:25:03,087 - INFO: Checking collision for head position: (420, 340)
2025-01-07 15:25:03,288 - INFO: Checking collision for head position: (400, 340)
2025-01-07 15:25:03,489 - INFO: Checking collision for head position: (380, 340)
2025-01-07 15:25:03,690 - INFO: Checking collision for head position: (360, 340)
2025-01-07 15:25:03,891 - INFO: Checking collision for head position: (360, 320)
2025-01-07 15:25:04,092 - INFO: Checking collision for head position: (360, 300)
2025-01-07 15:25:04,292 - INFO: Checking collision for head position: (360, 280)
2025-01-07 15:25:04,494 - INFO: Checking collision for head position: (360, 260)
2025-01-07 15:25:04,694 - INFO: Checking collision for head position: (380, 260)
2025-01-07 15:25:04,896 - INFO: Checking collision for head position: (400, 260)
2025-01-07 15:25:05,096 - INFO: Checking collision for head position: (420, 260)
2025-01-07 15:25:05,298 - INFO: Checking collision for head position: (440, 260)
2025-01-07 15:25:05,499 - INFO: Checking collision for head position: (460, 260)
2025-01-07 15:25:05,699 - INFO: Checking collision for head position: (480, 260)
2025-01-07 15:25:05,899 - INFO: Checking collision for head position: (500, 260)
2025-01-07 15:25:06,100 - INFO: Checking collision for head position: (520, 260)
2025-01-07 15:25:06,301 - INFO: Checking collision for head position: (540, 260)
2025-01-07 15:25:06,502 - INFO: Checking collision for head position: (560, 260)
2025-01-07 15:25:06,703 - INFO: Checking collision for head position: (580, 260)
2025-01-07 15:25:06,904 - INFO: Checking collision for head position: (600, 260)
2025-01-07 15:25:07,104 - INFO: Checking collision for head position: (620, 260)
2025-01-07 15:25:07,306 - INFO: Checking collision for head position: (640, 260)
2025-01-07 15:25:07,506 - INFO: Checking collision for head position: (660, 260)
2025-01-07 15:25:07,707 - INFO: Checking collision for head position: (680, 260)
2025-01-07 15:25:07,908 - INFO: Checking collision for head position: (680, 240)
2025-01-07 15:25:08,109 - INFO: Checking collision for head position: (680, 220)
2025-01-07 15:25:08,310 - INFO: Checking collision for head position: (680, 200)
2025-01-07 15:25:08,510 - INFO: Checking collision for head position: (680, 180)
2025-01-07 15:25:08,710 - INFO: Checking collision for head position: (660, 180)
2025-01-07 15:25:08,913 - INFO: Checking collision for head position: (640, 180)
2025-01-07 15:25:09,112 - INFO: Checking collision for head position: (620, 180)
2025-01-07 15:25:09,313 - INFO: Checking collision for head position: (600, 180)
2025-01-07 15:25:09,515 - INFO: Checking collision for head position: (580, 180)
2025-01-07 15:25:09,714 - INFO: Checking collision for head position: (560, 180)
2025-01-07 15:25:09,915 - INFO: Checking collision for head position: (540, 180)
2025-01-07 15:25:10,116 - INFO: Checking collision for head position: (520, 180)
2025-01-07 15:25:10,317 - INFO: Checking collision for head position: (500, 180)
2025-01-07 15:25:10,518 - INFO: Checking collision for head position: (480, 180)
2025-01-07 15:25:10,719 - INFO: Checking collision for head position: (460, 180)
2025-01-07 15:25:10,919 - INFO: Checking collision for head position: (440, 180)
2025-01-07 15:25:11,119 - INFO: Checking collision for head position: (420, 180)
2025-01-07 15:25:11,319 - INFO: Checking collision for head position: (400, 180)
2025-01-07 15:25:11,520 - INFO: Checking collision for head position: (380, 180)
2025-01-07 15:25:11,720 - INFO: Checking collision for head position: (360, 180)
2025-01-07 15:25:11,921 - INFO: Checking collision for head position: (340, 180)
2025-01-07 15:25:12,121 - INFO: Checking collision for head position: (320, 180)
2025-01-07 15:25:12,322 - INFO: Checking collision for head position: (300, 180)
2025-01-07 15:25:12,524 - INFO: Checking collision for head position: (280, 180)
2025-01-07 15:25:12,724 - INFO: Checking collision for head position: (260, 180)
2025-01-07 15:25:12,925 - INFO: Checking collision for head position: (240, 180)
2025-01-07 15:25:13,125 - INFO: Checking collision for head position: (220, 180)
2025-01-07 15:25:13,325 - INFO: Checking collision for head position: (200, 180)
2025-01-07 15:25:13,526 - INFO: Checking collision for head position: (180, 180)
2025-01-07 15:25:13,727 - INFO: Checking collision for head position: (160, 180)
2025-01-07 15:25:13,929 - INFO: Checking collision for head position: (160, 200)
2025-01-07 15:25:14,130 - INFO: Checking collision for head position: (160, 220)
2025-01-07 15:25:14,330 - INFO: Checking collision for head position: (160, 240)
2025-01-07 15:25:14,531 - INFO: Checking collision for head position: (160, 260)
2025-01-07 15:25:14,731 - INFO: Checking collision for head position: (160, 280)
2025-01-07 15:25:14,933 - INFO: Checking collision for head position: (140, 280)
2025-01-07 15:25:15,133 - INFO: Checking collision for head position: (120, 280)
2025-01-07 15:25:15,335 - INFO: Checking collision for head position: (120, 300)
2025-01-07 15:25:15,535 - INFO: Checking collision for head position: (120, 320)
2025-01-07 15:25:15,737 - INFO: Checking collision for head position: (120, 340)
2025-01-07 15:25:15,937 - INFO: Checking collision for head position: (120, 360)
2025-01-07 15:25:16,138 - INFO: Checking collision for head position: (120, 380)
2025-01-07 15:25:16,339 - INFO: Checking collision for head position: (120, 400)
2025-01-07 15:25:16,540 - INFO: Checking collision for head position: (120, 420)
2025-01-07 15:25:16,740 - INFO: Checking collision for head position: (120, 440)
2025-01-07 15:25:16,939 - INFO: Checking collision for head position: (140, 440)
2025-01-07 15:25:17,141 - INFO: Checking collision for head position: (160, 440)
2025-01-07 15:25:17,341 - INFO: Checking collision for head position: (180, 440)
2025-01-07 15:25:17,542 - INFO: Checking collision for head position: (200, 440)
2025-01-07 15:25:17,742 - INFO: Checking collision for head position: (220, 440)
2025-01-07 15:25:17,942 - INFO: Checking collision for head position: (240, 440)
2025-01-07 15:25:18,143 - INFO: Checking collision for head position: (260, 440)
2025-01-07 15:25:18,344 - INFO: Checking collision for head position: (280, 440)
2025-01-07 15:25:18,543 - INFO: Checking collision for head position: (300, 440)
2025-01-07 15:25:18,744 - INFO: Checking collision for head position: (320, 440)
2025-01-07 15:25:18,944 - INFO: Checking collision for head position: (340, 440)
2025-01-07 15:25:19,145 - INFO: Checking collision for head position: (340, 420)
2025-01-07 15:25:19,346 - INFO: Checking collision for head position: (340, 400)
2025-01-07 15:25:19,547 - INFO: Checking collision for head position: (340, 380)
2025-01-07 15:25:19,747 - INFO: Checking collision for head position: (340, 360)
2025-01-07 15:25:19,947 - INFO: Checking collision for head position: (340, 340)
2025-01-07 15:25:20,148 - INFO: Checking collision for head position: (340, 320)
2025-01-07 15:25:20,348 - INFO: Checking collision for head position: (340, 300)
2025-01-07 15:25:20,549 - INFO: Checking collision for head position: (340, 280)
2025-01-07 15:25:20,749 - INFO: Checking collision for head position: (340, 260)
2025-01-07 15:25:20,950 - INFO: Checking collision for head position: (320, 260)
2025-01-07 15:25:21,151 - INFO: Checking collision for head position: (300, 260)
2025-01-07 15:25:21,352 - INFO: Checking collision for head position: (280, 260)
2025-01-07 15:25:21,552 - INFO: Checking collision for head position: (260, 260)
2025-01-07 15:25:21,753 - INFO: Checking collision for head position: (240, 260)
2025-01-07 15:25:21,955 - INFO: Checking collision for head position: (220, 260)
2025-01-07 15:25:22,155 - INFO: Checking collision for head position: (200, 260)
2025-01-07 15:25:22,356 - INFO: Checking collision for head position: (180, 260)
2025-01-07 15:25:22,556 - INFO: Checking collision for head position: (160, 260)
2025-01-07 15:25:22,755 - INFO: Checking collision for head position: (140, 260)
2025-01-07 15:25:22,956 - INFO: Checking collision for head position: (120, 260)
2025-01-07 15:25:23,157 - INFO: Checking collision for head position: (100, 260)
2025-01-07 15:25:23,358 - INFO: Checking collision for head position: (80, 260)
2025-01-07 15:25:23,559 - INFO: Checking collision for head position: (80, 240)
2025-01-07 15:25:23,760 - INFO: Checking collision for head position: (80, 220)
2025-01-07 15:25:23,962 - INFO: Checking collision for head position: (80, 200)
2025-01-07 15:25:24,163 - INFO: Checking collision for head position: (80, 180)
2025-01-07 15:25:24,364 - INFO: Checking collision for head position: (80, 160)
2025-01-07 15:25:24,565 - INFO: Checking collision for head position: (60, 160)
2025-01-07 15:25:24,766 - INFO: Checking collision for head position: (40, 160)
2025-01-07 15:25:24,968 - INFO: Checking collision for head position: (20, 160)
2025-01-07 15:25:25,168 - INFO: Checking collision for head position: (0, 160)
2025-01-07 15:25:25,369 - INFO: Checking collision for head position: (0, 180)
2025-01-07 15:25:25,570 - INFO: Checking collision for head position: (0, 200)
2025-01-07 15:25:25,771 - INFO: Checking collision for head position: (0, 220)
2025-01-07 15:25:25,971 - INFO: Checking collision for head position: (0, 240)
2025-01-07 15:25:26,171 - INFO: Checking collision for head position: (0, 260)
2025-01-07 15:25:26,373 - INFO: Checking collision for head position: (0, 280)
2025-01-07 15:25:26,573 - INFO: Checking collision for head position: (20, 280)
2025-01-07 15:25:26,773 - INFO: Checking collision for head position: (40, 280)
2025-01-07 15:25:26,974 - INFO: Checking collision for head position: (60, 280)
2025-01-07 15:25:27,175 - INFO: Checking collision for head position: (60, 260)
2025-01-07 15:25:27,376 - INFO: Checking collision for head position: (60, 240)
2025-01-07 15:25:27,577 - INFO: Checking collision for head position: (60, 220)
2025-01-07 15:25:27,778 - INFO: Checking collision for head position: (60, 200)
2025-01-07 15:25:27,979 - INFO: Checking collision for head position: (60, 180)
2025-01-07 15:25:28,179 - INFO: Checking collision for head position: (80, 180)
2025-01-07 15:25:28,381 - INFO: Checking collision for head position: (100, 180)
2025-01-07 15:25:28,581 - INFO: Checking collision for head position: (120, 180)
2025-01-07 15:25:28,782 - INFO: Checking collision for head position: (120, 200)
2025-01-07 15:25:28,982 - INFO: Checking collision for head position: (120, 220)
2025-01-07 15:25:29,183 - INFO: Checking collision for head position: (140, 220)
2025-01-07 15:25:29,384 - INFO: Checking collision for head position: (160, 220)
2025-01-07 15:25:29,584 - INFO: Checking collision for head position: (180, 220)
